Face Detection and Model Embedding,Average Precision
det_fastmtcnn-emb_GhostFaceNet,0.8689109260059981
det_fastmtcnn-emb_FaceNet,0.810659458181218
det_fastmtcnn-emb_VggFace,0.7260328382838647
det_retinaface-emb_GhostFaceNet,0.7237892646615355
det_opencv-emb_GhostFaceNet,0.7110676432084956
det_fastmtcnn-emb_ArcFace,0.7082268263648914
det_retinaface-emb_VggFace,0.2653846153846154
det_opencv-emb_ArcFace,0.24017648739008618
det_opencv-emb_VggFace,0.1842968505396949
det_opencv-emb_FaceNet,0.17956829515219913
det_retinaface-emb_FaceNet,0.04444444444444444
det_retinaface-emb_ArcFace,0.01818181818181818
