Face Detection and Model Embedding,Average Precision
det_fastmtcnn-emb_FaceNet,0.8063242232026767
det_fastmtcnn-emb_GhostFaceNet,0.7716200815808517
det_fastmtcnn-emb_ArcFace,0.7528755977898273
det_fastmtcnn-emb_VggFace,0.7528755977898273
det_retinaface-emb_GhostFaceNet,0.6633200928181135
det_opencv-emb_GhostFaceNet,0.646493320901172
det_retinaface-emb_FaceNet,0.5002031468164343
det_retinaface-emb_VggFace,0.48751112207257286
det_retinaface-emb_ArcFace,0.4779519393180011
det_opencv-emb_ArcFace,0.3696089678362883
det_opencv-emb_VggFace,0.31696376423161743
det_opencv-emb_FaceNet,0.3127460650483927
